id,question,theme
1085,"In contemporary parliamentary governments, which official is usually in charge of asking parliament to dissolve?",Prime_minister
1086,who has the power to disolve parliment?,Prime_minister
1087,Who can the prime minister damand a resignation from?,Prime_minister
1088,what kind of dissalution can parliment request?,Prime_minister
1089,"In Ireland, when was the power to dissolve parliament assigned to the prime minister?",Prime_minister
1090,The 1922 Irish Free State Constitution previously gave what body the power to dissolve parliament?,Prime_minister
1091,What could the Taoiseach due prior to 1922,Prime_minister
1092,What process signals the need for the prime minister to resign in Australia?,Prime_minister
1093,What motion requires the head of State to step down in Australia?,Prime_minister
1094,What is the Russian term for prime minister?,Prime_minister
1095,What is the term used in spain for prime minister?,Prime_minister
1096,What is the Irish term for prime minister?,Prime_minister
1097,Who is Chairmen of the government in Ireland?,Prime_minister
1098,What is another termfor Rosh HaMemshalah in Russia?,Prime_minister
1099,What is the Italian term for the prime minister?,Prime_minister
1100,What is the native term for prime minister in Scandinavia?,Prime_minister
1101,What does the title Satsminister refer to in Italy?,Prime_minister
1102,Who is nown as the prime minister in federations?,Prime_minister
1103,What is the head of Monaco's government called?,Prime_minister
1104,Who is head of state and government in Iran?,Prime_minister
1105,What are British prime ministers part of that grants them the title Right Honourable?,Prime_minister
1106,What is the prime minister entitled to in Commonwealth countries?,Prime_minister
1107,Who is called Honourable in non Commonwealth countries?,Prime_minister
1108,Who can not be part of the privy council?,Prime_minister
1109,"What are the heads of government in Wales, Scotland and Northern Ireland called?",Prime_minister
1110,What is the term for prime minister in Pakistan?,Prime_minister
1111,What does Wazir-e-Azam mean in English?,Prime_minister
1112,what is undeveloped in the UK?,Prime_minister
1113,What is the head of government's office called in Canada?,Prime_minister
1114,What is the head of government's office called in the UK?,Prime_minister
1115,What is the Cabinet in Canada?,Prime_minister
1116,What istitutions were prestiges in the 1900's,Prime_minister
1117,What empire expanded in the 1900's?,Prime_minister
1118,Who avoided using the the British model o cabinet government?,Prime_minister
1119,Which political practice did Montesquieu originate?,Separation_of_powers_under_the_United_States_Constitution
1120,What document was greatly informed by the idea of separation of powers?,Separation_of_powers_under_the_United_States_Constitution
1121,What was the doctrine called that allowed the three branches of government to check the powers of each other?,Separation_of_powers_under_the_United_States_Constitution
1122,What originates in the writings of the Legislative powers?,Separation_of_powers_under_the_United_States_Constitution
1123,Which philosophy was a great influence on the Legislative branch of government?,Separation_of_powers_under_the_United_States_Constitution
1124,Which document was greatly influenced by the idea of a constitutional government?,Separation_of_powers_under_the_United_States_Constitution
1125,Who was a leading advocate of dividing government into different branches?,Separation_of_powers_under_the_United_States_Constitution
1126,Who was an advocate of separation of powers?,Separation_of_powers_under_the_United_States_Constitution
1127,Who was an opponent of separation of powers?,Separation_of_powers_under_the_United_States_Constitution
1128,During which age did Thomas Hobbes advocate the principle in his writing?,Separation_of_powers_under_the_United_States_Constitution
1129,During which age did John Locke oppose the principle in his writing?,Separation_of_powers_under_the_United_States_Constitution
1130,Who was at the forefront of the opposition towards separating the branches of government?,Separation_of_powers_under_the_United_States_Constitution
1131,What were the two main principles informing the government of the UK?,Separation_of_powers_under_the_United_States_Constitution
1132,"What term describes the status of the different branches of government in Maryland, Virginia, North Carolina and Georgia?",Separation_of_powers_under_the_United_States_Constitution
1133,What country's government served as a model for the United States Government?,Separation_of_powers_under_the_United_States_Constitution
1134,"In the 18th century what function, besides President, did the Delaware President serve? ",Separation_of_powers_under_the_United_States_Constitution
1135,Which political structure served as a model for the United Kingdom government?,Separation_of_powers_under_the_United_States_Constitution
1136,What body consisted of the House of Lords and the House of Majesty;s government?,Separation_of_powers_under_the_United_States_Constitution
1137,In which states did members of the Lord Chancellor's council and judges serve at the same time?,Separation_of_powers_under_the_United_States_Constitution
1138,What is the only branch of U.S. government imbued with lawmaking abilities?,Separation_of_powers_under_the_United_States_Constitution
1139,Which court case upheld the rule of nondelegation?,Separation_of_powers_under_the_United_States_Constitution
1140,When was Clinton v. City of New York decided by the Supreme Court?,Separation_of_powers_under_the_United_States_Constitution
1141,What is the doctrine called that does not allow congress to pass on their power to pass laws to any other agency?,Separation_of_powers_under_the_United_States_Constitution
1142,What year was Clinton v. City of New York decided by the supreme court?,Separation_of_powers_under_the_United_States_Constitution
1143,Who has shared legislative power in the United States?,Separation_of_powers_under_the_United_States_Constitution
1144,Which doctrine says Congress can delegate its powers to whoever it wants?,Separation_of_powers_under_the_United_States_Constitution
1145,In which year was the court case Clinton v. Supreme Court held?,Separation_of_powers_under_the_United_States_Constitution
1146,In which country does Congress have shared lawmaking responsibilities?,Separation_of_powers_under_the_United_States_Constitution
1147,What was one of the first times the Supreme Court tried a case regarding nondelegation?,Separation_of_powers_under_the_United_States_Constitution
1148,In what year was Wayman v. Southard tried by the U.S. Supreme Court?,Separation_of_powers_under_the_United_States_Constitution
1149,"In Wayman v. Southard, what branch was accused of being given lawmaking abilities by Congress?",Separation_of_powers_under_the_United_States_Constitution
1150,What is the name of the 1825 case where the supreme court held that congress could delegate their responsibilities to the court?,Separation_of_powers_under_the_United_States_Constitution
1151,Who was chief justice of the supreme court under the Wayman v. Southard ruling?,Separation_of_powers_under_the_United_States_Constitution
1152,Where has the Supreme Court been known to be more stringent towards Congress?,Separation_of_powers_under_the_United_States_Constitution
1153,What is one of the most recent races regarding limits of non delegation?,Separation_of_powers_under_the_United_States_Constitution
1154,When did the Supreme Court hear John Marshall v Southard?,Separation_of_powers_under_the_United_States_Constitution
1155,Which case was heard by Congress in regards to non delegation limits?,Separation_of_powers_under_the_United_States_Constitution
1156,When was the US Congress Court Wayman v. Southard heard?,Separation_of_powers_under_the_United_States_Constitution
1157,When was the first time that a Congressional attempt at delegating lawmaking responsibility was found to be in violation of the Constitution?,Separation_of_powers_under_the_United_States_Constitution
1158,The establishment of what body was the subject of A.L.A. Schechter Poultry Corp. v. United States?,Separation_of_powers_under_the_United_States_Constitution
1159,In what year did the supreme court determine that delegating powers by congress was unconstitutional?,Separation_of_powers_under_the_United_States_Constitution
1160,What was the supreme court case that was determined that congress could not allow the President to determine fair competition?,Separation_of_powers_under_the_United_States_Constitution
1161,What gave Congress less latitude in delegating powers?,Separation_of_powers_under_the_United_States_Constitution
1162,When did Congress make the decision that a delegation of authority is unconstitutional?,Separation_of_powers_under_the_United_States_Constitution
1163,Which branches of the national military does the U.S. president command?,Separation_of_powers_under_the_United_States_Constitution
1164,Whose approval is required for the president's appointees to take office?,Separation_of_powers_under_the_United_States_Constitution
1165,What term can characterize the status of bodies like the War Claims Commission and the Interstate Commerce Commission?,Separation_of_powers_under_the_United_States_Constitution
1166,Who has the authority to make treaties?,Separation_of_powers_under_the_United_States_Constitution
1167,What is it called when congress terminates an appointment of the President?,Separation_of_powers_under_the_United_States_Constitution
1168,Who has over-sight of the Federal Trade Commission?,Separation_of_powers_under_the_United_States_Constitution
1169,In whom is Congressional power vested?,Separation_of_powers_under_the_United_States_Constitution
1170,To what does congress attempt to limit executive officials?,Separation_of_powers_under_the_United_States_Constitution
1171,When was INS v Chadha tried before the Supreme Court?,Separation_of_powers_under_the_United_States_Constitution
1172,By what margin can congress over ride a Presidential veto?,Separation_of_powers_under_the_United_States_Constitution
1173,In which case did Congress decide that all powers would be vested in the Supreme Court consisting of a Senate and House of Representatives?,Separation_of_powers_under_the_United_States_Constitution
1174, Congress decide that all powers would be vested in the Supreme Court consisting of a which two bodies?,Separation_of_powers_under_the_United_States_Constitution
1175,In what year did Congress decide that all powers would be vested in the Supreme Court consisting of a Senate and House of Representatives?,Separation_of_powers_under_the_United_States_Constitution
1176,Who must be presented with every bill passed by the President?,Separation_of_powers_under_the_United_States_Constitution
1177,In what branch is the ability to try legal cases placed?,Separation_of_powers_under_the_United_States_Constitution
1178,Who nominates justices for the U.S. Supreme Court?,Separation_of_powers_under_the_United_States_Constitution
1179,Who must approve presidential appointees to the Supreme Court?,Separation_of_powers_under_the_United_States_Constitution
1180,What is the term for judicial institutions exercising their power?,Separation_of_powers_under_the_United_States_Constitution
1181,What is the power given to the supreme court and lower courts called?,Separation_of_powers_under_the_United_States_Constitution
1182,Who appoints a judge?,Separation_of_powers_under_the_United_States_Constitution
1183,Who gives the President advice and consent for a judge appointment?,Separation_of_powers_under_the_United_States_Constitution
1184,Which type of power is vested in Congress?,Separation_of_powers_under_the_United_States_Constitution
1185,Who must be appointed by Supreme Court judges?,Separation_of_powers_under_the_United_States_Constitution
1186,What are courts exercising presidential power referred to?,Separation_of_powers_under_the_United_States_Constitution
1187,What type of power gives the power to decided controversies to the president?,Separation_of_powers_under_the_United_States_Constitution
1188,What kind of courts did congress establish?,Separation_of_powers_under_the_United_States_Constitution
1189,What power are legislative courts not allowed to exercise?,Separation_of_powers_under_the_United_States_Constitution
1190,Which type of courts are established by Hoboken Land & Improvement CO.?,Separation_of_powers_under_the_United_States_Constitution
1191,Which form do legislative courts take?,Separation_of_powers_under_the_United_States_Constitution
1192,Which type of courts do legislative courts create in the form of judicial agencies?,Separation_of_powers_under_the_United_States_Constitution
1193,Who can determine a date of adjournment if congress cannot agree?,Separation_of_powers_under_the_United_States_Constitution
1194,Who can call congress into emergency session?,Separation_of_powers_under_the_United_States_Constitution
1195,Who serves as president of the Senate?,Separation_of_powers_under_the_United_States_Constitution
1196,Who has the ability to override any veto made by Congress?,Separation_of_powers_under_the_United_States_Constitution
1197,Who settles the dispute when the President and Vice President cannot come to an agreement for a date of adjournment?,Separation_of_powers_under_the_United_States_Constitution
1198,Who serves as President of the Senate and is the only member with voting rights?,Separation_of_powers_under_the_United_States_Constitution
1199,Who has the power to issue a pardon?,Separation_of_powers_under_the_United_States_Constitution
1200,Who has the power to issue a reprieve? ,Separation_of_powers_under_the_United_States_Constitution
1201,Who appoints the President with the approval of judges?,Separation_of_powers_under_the_United_States_Constitution
1202,Who appoints the Senate with the approval of judges?,Separation_of_powers_under_the_United_States_Constitution
1203,Who appoints judges with the President's approval?,Separation_of_powers_under_the_United_States_Constitution
1204,The president does not have the power to issue pardons or what else?,Separation_of_powers_under_the_United_States_Constitution
1205,Who is the commander and chief of the Army?,Separation_of_powers_under_the_United_States_Constitution
1206,Who has the power to declare ware?,Separation_of_powers_under_the_United_States_Constitution
1207,Who has the responsibility to confirm Generals and Admirals?,Separation_of_powers_under_the_United_States_Constitution
1208,Who is the Commander in Chief of Congress?,Separation_of_powers_under_the_United_States_Constitution
1209,Who lacks power to command the miliary take action during crises?,Separation_of_powers_under_the_United_States_Constitution
1210,Who lacks authority to make laws to govern the armed forces?,Separation_of_powers_under_the_United_States_Constitution
1211,Who is the only body with authority to declare majority vote?,Separation_of_powers_under_the_United_States_Constitution
1212,What is the court case that established judicial review?,Separation_of_powers_under_the_United_States_Constitution
1213,Through which type of review does the Constitution check the executive and legislative branches?,Separation_of_powers_under_the_United_States_Constitution
1214,In which case did the Constitution establish a precedent for judicial review?,Separation_of_powers_under_the_United_States_Constitution
1215,In which case did the Supreme Court establish a precedent for Federalist Papers?,Separation_of_powers_under_the_United_States_Constitution
1216,What abolished the principle that a court could strike down unconstitutional laws?,Separation_of_powers_under_the_United_States_Constitution
1217,Which court is the only one able to determine constitutionality?,Separation_of_powers_under_the_United_States_Constitution
1218,Which power are inferior courts unable to exercise?,Separation_of_powers_under_the_United_States_Constitution
1219,Which is the only court unable to determine constitutionality?,Separation_of_powers_under_the_United_States_Constitution
1220,Who's judicial power does congress have the right to limit?,Separation_of_powers_under_the_United_States_Constitution
1221,Who lacks the ability to review the constitutionality of laws?,Separation_of_powers_under_the_United_States_Constitution
1222,The Supreme court has power to set jurisdiction of what?,Separation_of_powers_under_the_United_States_Constitution
1223,Who has the ability to determine whether a Supreme Court is constitutional or not?,Separation_of_powers_under_the_United_States_Constitution
1224,Which rules grant much authority to the presiding officer?,Separation_of_powers_under_the_United_States_Constitution
1225,Who has an unlimited role in this regard?,Separation_of_powers_under_the_United_States_Constitution
1226,Where does the president preside during the Chief Justice impeachment trial?,Separation_of_powers_under_the_United_States_Constitution
1227,Which rules do not grant authority to the President?,Separation_of_powers_under_the_United_States_Constitution
1228,Where did the Constitution write that it's not possible to give each department equal power?,Separation_of_powers_under_the_United_States_Constitution
1229,Immediately following the civil war which branch of government was seen to have the greater amount of power?,Separation_of_powers_under_the_United_States_Constitution
1230,After which war did Republicans hold a minority in Congress?,Separation_of_powers_under_the_United_States_Constitution
1231,The Tenure of Office Act says Congress is subordinate to who?,Separation_of_powers_under_the_United_States_Constitution
1232,How many bills did George Washington veto?,Separation_of_powers_under_the_United_States_Constitution
1233,How many bills did Andrew Jackson veto,Separation_of_powers_under_the_United_States_Constitution
1234,Who was the seventh President of the United States?,Separation_of_powers_under_the_United_States_Constitution
1235,Which president vetoed six bills?,Separation_of_powers_under_the_United_States_Constitution
1236,How many bills did Andrew Jackson veto to make him the least likely president to veto a bill?,Separation_of_powers_under_the_United_States_Constitution
1237,"Who stated ""Andrew Jackson has made his decision. Now let him enforce it!""?",Separation_of_powers_under_the_United_States_Constitution
1238,Who defied the Supreme Court by enforcing Supreme Court Removal?,Separation_of_powers_under_the_United_States_Constitution
1239,How many of Andrew Johnson's veto's were over turned by Congress,Separation_of_powers_under_the_United_States_Constitution
1240,What act did congress pass that gave the senate the right to approve the dismissal of a cabinet official?,Separation_of_powers_under_the_United_States_Constitution
1241,After which war did Congress begin using power to counterbalance the President?,Separation_of_powers_under_the_United_States_Constitution
1242,Who vetoed several bills passed by the Radical Democrats?,Separation_of_powers_under_the_United_States_Constitution
1243,How many of Johnson's fifteen vetoes did Congress override?,Separation_of_powers_under_the_United_States_Constitution
1244,How many of Congress' 29 vetoes did Johnson override?,Separation_of_powers_under_the_United_States_Constitution
1245,Through which act did Jackson attempt to curb presidential power?,Separation_of_powers_under_the_United_States_Constitution
1246,Who was the first president to veto over 400 bills?,Separation_of_powers_under_the_United_States_Constitution
1247,Under which President was the Tenure of Office Act repealed? ,Separation_of_powers_under_the_United_States_Constitution
1248,What did Cleveland's impeachment do to the presidency?,Separation_of_powers_under_the_United_States_Constitution
1249,Who's impeachment was perceived as having helped the presidency?,Separation_of_powers_under_the_United_States_Constitution
1250,"After Grover Cleveland, who was the first Democratic President?",Separation_of_powers_under_the_United_States_Constitution
1251,Who was the first Republican President after Johnson?,Separation_of_powers_under_the_United_States_Constitution
1252,Which President attempted to pack the supreme court?,Separation_of_powers_under_the_United_States_Constitution
1253,Which presidents have tried to decrease the power of the presidential office?,Separation_of_powers_under_the_United_States_Constitution
1254,Who claimed the president was not permitted to do whatever wasn't allowed by law?,Separation_of_powers_under_the_United_States_Constitution
1255,Who had considerable power during the Great Recession?,Separation_of_powers_under_the_United_States_Constitution
1256,Who used the Supreme Court as a basis for expansion of power?,Separation_of_powers_under_the_United_States_Constitution
1257,Who claimed that executive privilege did not shield him from legislative oversight?,Separation_of_powers_under_the_United_States_Constitution
1258,Which president refused to spend money that was appropriated by the Supreme Court?,Separation_of_powers_under_the_United_States_Constitution
1259,Which president followed Congress' plan for appropriated government programs?,Separation_of_powers_under_the_United_States_Constitution
1260,What does not apply to any branch of government?,Separation_of_powers_under_the_United_States_Constitution
1261,Branches are free to act in which way on all issues?,Separation_of_powers_under_the_United_States_Constitution
1262,The Judicial branch of government is the only one to which what is applied?,Separation_of_powers_under_the_United_States_Constitution
1263,Who has congress delegated the responsibility of establishing the rules of conduct for the courts to? ,Separation_of_powers_under_the_United_States_Constitution
1264,The regulation of Congress is an example of what?,Separation_of_powers_under_the_United_States_Constitution
1265,"In practice, what is delegated to Congress?",Separation_of_powers_under_the_United_States_Constitution
1266,Who may license and regulate attorneys in Florida?,Separation_of_powers_under_the_United_States_Constitution
1267,Who sets the procedures to be followed in the Florida court system?,Separation_of_powers_under_the_United_States_Constitution
1268,In which supreme court is an example of the third view at the State level?,Separation_of_powers_under_the_United_States_Constitution
1269,Where is an example of the second view at the National level found?,Separation_of_powers_under_the_United_States_Constitution
1270,Which court is the only one able to set rules for procedures in State courts?,Separation_of_powers_under_the_United_States_Constitution
1271,Which court is the only one able to license attorneys appearing before New Hampshire Supreme Court?,Separation_of_powers_under_the_United_States_Constitution
1272,Which branch may be historically claimed to be the strongest of the branches of government?,Separation_of_powers_under_the_United_States_Constitution
1273,Which power of the judiciary is explicitly granted in the Constitution?,Separation_of_powers_under_the_United_States_Constitution
1274,How many times prior to Dred Scott v. Sandford had the Supreme Court exercised its power to strike down congressional acts?,Separation_of_powers_under_the_United_States_Constitution
1275,How many times before World War I has the Supreme Court exercised its power to strike down congressional acts?,Separation_of_powers_under_the_United_States_Constitution
1276,"Before the Civil War, the Marbury had exercised its power to strike down what type of acts only twice?",Separation_of_powers_under_the_United_States_Constitution
1277,Who claimed that separation of powers deteriorated the unique political structure in the US?,Separation_of_powers_under_the_United_States_Constitution
1278,What do many political scientists attribute the large number of active interest groups in the US to?,Separation_of_powers_under_the_United_States_Constitution
1279,Who attributes the small number of active interest groups to the separation of powers?,Separation_of_powers_under_the_United_States_Constitution
1280,What is the latin word for architecture?,Architecture
1281,"In what language does the word ""architecture"" have its origins?",Architecture
1282,"What two words is ""architecture"" a combination of?",Architecture
1283,"Aside from symbolizing cultures, what else are architectural works thought of as?",Architecture
1284,What is the french word for architecture?,Architecture
1285, What is the Italian word for architecture?,Architecture
1286,What structures never be viewed as both works of art and symbols of certain cultures?,Architecture
1287,What is the oldest architecture plans that has survived?,Architecture
1288,Who created the oldest surviving architecture plans?,Architecture
1289,Who was the author of  De architectura?,Architecture
1290,What were Vitruvius' three principles for a well made building?,Architecture
1291,What is the youngest architecture plans that has survived?,Architecture
1292,Who created the most recent surviving architecture plans?,Architecture
1293,What was written in the 2nd century AD?,Architecture
1294, What was Vitruvius' fourth principles for a well made building?,Architecture
1295, What is the commonly seen French translation of the three principles?,Architecture
1296,"Who wrote Lives of the Most Excellent Painters, Sculptors, and Architects?",Architecture
1297,"In Vitruvius's mind, whose responsibility was it to see the principles carried out?",Architecture
1298,What did Leon Battista Alberti consider most important for beauty?,Architecture
1299,What ideal proportion did Alberti promote?,Architecture
1300,"Who wrote Lives of the Least Excellent Painters, Sculptors, and Architects?",Architecture
1301,By the 16th century which languages was Vasaris book translated in?,Architecture
1302,"In Vitruvius's mind, whose responsibility was it to see the principles rejected?",Architecture
1303, Who wrote Re Re Aedificatoria?,Architecture
1304,What year was Contrasts written in?,Architecture
1305,What was the name of Pugin's book?,Architecture
1306,In what year was Contrasts written?,Architecture
1307,What type of architecture did Pugin consider truly Christian?,Architecture
1308,Who wrote Contrasts in the 17th century?,Architecture
1309,When did Augustus Welby Northmore Pugin paint the artwork called Contrasts?,Architecture
1310, What world did Pugin like?,Architecture
1311,Who wrote Seven Lamps of Architecture?,Architecture
1312,Who was the author of Seven Lamps of Architecture?,Architecture
1313,What was Ruskin's career? ,Architecture
1314,When was  Seven Lamps of Architecture published?,Architecture
1315, Who wrote Eight Lamps of Architecture?,Architecture
1316,When did John Ruskin write the Seven Lamps of Architecture?,Architecture
1317,What book came out in the 18th century?,Architecture
1318,"Who said ""art which never disposes and adorns the edifices""",Architecture
1319,Does Ruskin believe all buildings are works of architecture?,Architecture
1320,What features at minimum did Ruskin insist on for a building to be considered functional?,Architecture
1321,Who believes all buildings are works of architecture?,Architecture
1322,What features at maximum did Ruskin insist on for a building to be considered functional?,Architecture
1323,What century was the architect Le Corbusier in?,Architecture
1324,What was Le Corbusier 's profession?,Architecture
1325,When did Le Corbusier live and write?,Architecture
1326,What part of him did Le Corbusier say proper architecture touched?,Architecture
1327,Who disagreed on the topic of architectural ideals contrasted with simple construction?,Architecture
1328,"Who said ""You don't employ stone, wood, and concrete""",Architecture
1329,In addition to being practically useful what other aspects did a building need in order to be considered functional?,Architecture
1330,What aspects of a building were considered part of the larger concept of function?,Architecture
1331,"What term replaced Vitruvius' term ""nonutility""?",Architecture
1332,"What was the term ""criteria"" replaced by? ",Architecture
1333,Whose concept of utility did the more modern concept of function not replace?,Architecture
1334,What are some philosophies that modern architects use?,Architecture
1335,Rationalism and empiricism are examples of what?,Architecture
1336,Aside from the architects what did the philosophies influence?,Architecture
1337,Which philosophy followed structuralism?,Architecture
1338,What are some philosophies that ancient architects use?,Architecture
1339, Aside from the architects what did the rationalism influence?,Architecture
1340,What novel concept was introduced at the end of the 20th century?,Architecture
1341,To what should a building be friendly?,Architecture
1342,What sort of power sources should a building not overuse if the building is to be considered environmentally friendly?,Architecture
1343,What sort of power sources should a building always overuse if the building is to be considered environmentally friendly?,Architecture
1344,What dynamic needs were the reason for building to be done?,Architecture
1345,What was the most valued type of building craft called?,Architecture
1346,"Aside from skills, what is required in order to have the means for building?",Architecture
1347, What dynamic needs were the reason for building to be demolished?,Architecture
1348,Oral traditions disallowed what to become formalized in human cultures?,Architecture
1349, What was the least valued type of building craft called?,Architecture
1350,What type of buildings are are built mostly through out the world?,Architecture
1351,Why did the economy begin to expand?,Architecture
1352,At what speed did urban settlements sometimes expand?,Architecture
1353,What type of buildings are not built mostly through out the world?,Architecture
1354, Why did the economy stop expanding?,Architecture
1355,Through what process is it thought that the first architectural achievements were not made?,Architecture
1356,What is a popular type of architecture that doesn't exist around the planet?,Architecture
1357,What civilizations used the divine and supernatural in their architecture?,Architecture
1358,To what did these civilizations have ties that to were shown off by their architecture?,Architecture
1359,What does architectural monumentality often represent?,Architecture
1360,What civilizations didn't use the divine and supernatural in their architecture?,Architecture
1361, What are three examples of past civilizations?,Architecture
1362,To what did these civilizations have ties that to weren't shown off by their architecture?,Architecture
1363, What does architectural monumentality never represent?,Architecture
1364,Name one Asian architectural writer.,Architecture
1365,What country produced the Kao Gong Ji?,Architecture
1366,When was the Kao Gong Ji written?,Architecture
1367,What architectural writing came from Sri Lanka?,Architecture
1368,India produced which early architectural text?,Architecture
1369,Who wrote late Asian writings?,Architecture
1370, What country rejected the Kao Gong Ji?,Architecture
1371,What was written in 4th century BCE?,Architecture
1372, What religious writing came from Sri Lanka?,Architecture
1373,When did Hindu temple architecture begin being produced?,Architecture
1374,What does Hindu temple architecture try to express?,Architecture
1375,What is the source of the concepts in Hindu temple architecture?,Architecture
1376,What type of architectural is especially known for its regional differences,Architecture
1377,What kind of religious theology affected landscape related architecture in Asia?,Architecture
1378, What religion led to architectural changes in many English countries?,Architecture
1379, Which cultures architecture showed a lot of similarities?,Architecture
1380, When did Muslim temple architecture begin being produced?,Architecture
1381, What does Hindu temple architecture try to hide?,Architecture
1382,What cultures architecture inspired Islamic architecture to use pointed arch's?,Architecture
1383,When was Islamic architecture first seen?,Architecture
1384,"In addition to forms from the ancient Middle East, what other place's forms had an effect on Islamic architecture?",Architecture
1385,What kind of arch design from Islamic architecture affected European architects?,Architecture
1386,What were the most important buildings of the time?,Architecture
1387,What two groups spread knowledge of architecture in Europe?,Architecture
1388,What style is Gothic?,Architecture
1389,What is another pan-European style?,Architecture
1390,When did the clerics and tradesmen start spreading architectural information?,Architecture
1391, What type of buildings were took the least effort to build?,Architecture
1392, What were the least important buildings of the time?,Architecture
1393, What three groups spread knowledge of architecture in Europe?,Architecture
1394, What style is pre-Gothic?,Architecture
1395, What is another pre-European style?,Architecture
1396,When was Renaissance Humanism developed?,Architecture
1397,What continent did this revival take place on?,Architecture
1398,What did Renaissance Humanism emphasize?,Architecture
1399,What three vocations were not really considered separate from each other at that time?,Architecture
1400,What was developed before 1400?,Architecture
1401, What state did this revival take place in?,Architecture
1402, What was the name for the time period before this?,Architecture
1403, What didn't Renaissance Humanism emphasize?,Architecture
1404,What sort of considerations does architectural design take into account? ,Architecture
1405, In architecture what aspects are never planned and designed?,Architecture
1406,Aside from planning and design what other types of aspects does architecture never involve?,Architecture
1407,Who said that architecture was able extend beyond function?,Architecture
1408,In what way did Nunzia Rondanini believe architecture moved past mere functionality?,Architecture
1409,"What could, in Rondanini's opinion, architecture ""stimulate and influence""?",Architecture
1410,What does architecture share with other sciences?,Architecture
1411,In what way did Nunzia Rondanini not believe architecture moved past mere functionality?,Architecture
1412,"What couldn't, in Rondanini's opinion, architecture ""stimulate and influence""?",Architecture
1413,"What should architecture be assumed to promote, according to Rondanini?",Architecture
1414, How does architecture differ from other sciences?,Architecture
1415,What is a reactionary thing to limit formalism's meaning to?,Architecture
1416, What sort of quest defines purpose?,Architecture
1417,From what ideals did Classical architecture emerge?,Architecture
1418,These civic ideas allowed what to come into being?,Architecture
1419,What ideals were Greek and Roman Classical architecture not based on?,Architecture
1420,What owes its development to the Classical orders?,Architecture
1421, From what ideals did Classical architecture not come from?,Architecture
1422, These civic ideas allowed what to not come into being?,Architecture
1423,What ideals were Greek and Roman Classical architecture based on?,Architecture
1424, What doesn't owe its development to the Classical orders?,Architecture
1425,When were architectural writings first made?,Architecture
1426,Aside from general advice what did the texts contain?,Architecture
1427,When did Vitruvius write his canons?,Architecture
1428,What is a significant early architectural canonical type?,Architecture
1429, When were architectural writings last made?,Architecture
1430, Aside from general advice what did the texts not contain?,Architecture
1431, What is another term for specific informal prescriptions?,Architecture
1432,Who wrote canons in 2nd century BCE?,Architecture
1433,What records of the guilds are still in existence?,Architecture
1434,What is another term for master mason?,Architecture
1435,What organizations were not created by Medieval craftsmen?,Architecture
1436, What records of the guilds are no longer in existence?,Architecture
1437, What was the least important thing the contracts were had to do with?,Architecture
1438, What is another term for trainer mason?,Architecture
1439,What aspects of buildings did science and engineering have an effect on?,Architecture
1440,Who still could handle the structural calculations for designing at that time?,Architecture
1441,What aspects of buildings did engineering not have an effect on?,Architecture
1442,What aspects of buildings did science not have an effect on?,Architecture
1443,What did architects often neglect in their pursuit of aesthetics?,Architecture
1444,What was a term for an architect who catered to the wealthy?,Architecture
1445,What did 19th century formal architectural training neglect?,Architecture
1446,Where did most architects learn their trade?,Architecture
1447, What two fields got closer?,Architecture
1448, What did architects often favor in their pursuit of aesthetics?,Architecture
1449, What was a term for an architect who catered to the poor?,Architecture
1450, What did 18th century formal architectural training neglect?,Architecture
1451,What started with the Industrial Revolution?,Architecture
1452,What ended with the Industrial Revolution?,Architecture
1453, What became cheap enough for the lower class to buy?,Architecture
1454, As products came within their financial reach what concept began to interest the upper class?,Architecture
1455, As products came within their financial reach what concept began to interest the lower class?,Architecture
1456,What type of design did these texts allow the builders to incorporate?,Architecture
1457,What kind of books did housebuilders reject?,Architecture
1458,What new type of architecture was starting to come into being at this time?,Architecture
1459,When did the Deutscher Werkbund get its start?,Architecture
1460,What was the point of the Deutscher Werkbund?,Architecture
1461,What old type of architecture was starting to come into being at this time?,Architecture
1462,When did the Deutscher Werkbund end?,Architecture
1463,What started in 1970?,Architecture
1464,What kind of movement was modern architecture in the beginning?,Architecture
1465,Who was the new movement meant to suit the needs of?,Architecture
1466,Whose needs were no longer relevant to the new style?,Architecture
1467,What sort of details did the Modernists' want in their buildings?,Architecture
1468,What details did Modernists' do away with?,Architecture
1469, What details did Modernists' encourage?,Architecture
1470,Who was instrumental in creating Organic architecture?,Architecture
1471,What was Wright's intention regarding humans and nature?,Architecture
1472, Who was instrumental in rejecting Organic architecture?,Architecture
1473, Who was instrumental in creating inorganic architecture?,Architecture
1474, What are four of Wright's designs?,Architecture
1475,Wright wanted to promote disharmony in what two groups?,Architecture
1476,What made it possible to design architecture through new means and methods?,Architecture
1477,What new type of construction allowed the making of skyscrapers?,Architecture
1478,What style came after Modernism?,Architecture
1479,What is an example of International Style?,Architecture
1480,Who designed the Twin Towers?,Architecture
1481, What style came before Modernism?,Architecture
1482, Who designed the Triplet Towers?,Architecture
1483, What is an example of Domestic Style?,Architecture
1484,Who were three architects who influenced Brutalism?,Architecture
1485,What material was used in Brutalist structures?,Architecture
1486,What aspect of historical styles did a lot of architects find booming in modernist styles?,Architecture
1487, Who were three architects who discouraged Brutalism?,Architecture
1488, Who agreed with the aesthetic of Brutalism?,Architecture
1489,What school was a response to Brutalism?,Architecture
